epiweek,uf_code,cases,temp_min,temp_med,temp_max,precip_min,precip_med,precip_max,pressure_min,pressure_med,pressure_max,rel_humid_min,rel_humid_med,rel_humid_max,thermal_range,rainy_days
201401,29,0,21.5437104302926,24.8917663339071,29.4006324612737,1.42911518072289,9.17763831325301,27.3911944578313,0.949334492254733,0.951252013769363,0.952727848537005,55.3531543545611,75.8827459208262,92.6572102237521,7.85692203098107,7
201402,29,0,21.6093174182444,25.3008014457831,30.0782409638554,0.63948578313253,6.37091036144578,21.5926289156627,0.950295628227194,0.952077728055078,0.953784681583477,50.566287091222,72.8762539414802,91.7272432358003,8.46892354561101,7
201403,29,0,21.7182143201377,25.7653822719449,30.7577015834768,0.66020843373494,4.54214240963856,11.6785946987952,0.950041755593804,0.952172771084337,0.953910533562823,45.0845996213425,68.4611403098107,89.6428468846816,9.03948726333907,7
201404,29,0,21.9411205851979,26.0698344234079,30.9754210327022,0.709075662650602,4.15006192771084,9.3747713253012,0.948455800344234,0.950522822719449,0.952277487091222,43.1737708089501,66.4026488812392,88.1198879173838,9.0343004475043,7
201405,29,0,22.2701454388985,26.3501491910499,31.5460916006885,0.261141204819277,4.1926178313253,11.7529812048193,0.950198657487091,0.952034113597246,0.953696385542169,42.8639771772806,65.848081686747,86.6503220998279,9.27594616179002,7
201406,29,0,22.1479969707401,25.6981344234079,30.2988456454389,0.706936626506024,6.78353518072289,18.3348469879518,0.94868247848537,0.950456833046472,0.95215734939759,49.564106746988,70.7849546987952,89.0554775903614,8.1508486746988,7
201407,29,0,22.468292908778,26.5753640619621,31.6888159036145,0.557706265060241,4.08551493975904,9.7928243373494,0.949651910499139,0.951826850258176,0.953582237521514,44.4885134939759,67.1689874698795,88.1592041652324,9.22052299483649,7
201408,29,0,22.7515683993115,26.4850981755594,31.324591394148,0.790529397590361,7.42107277108434,22.9611703614458,0.948503889845095,0.950637728055078,0.952607882960413,48.2823303270224,70.1945258519793,89.2423813080895,8.57302299483649,7
201409,29,1,22.9619931153184,26.0707900516351,30.4127306024096,5.29169951807229,28.2643619277109,69.8644927710843,0.947932839931153,0.950253287435456,0.952028812392427,57.0773186919105,77.2954312564544,92.6687649913942,7.45073748709122,7
201410,29,0,22.6368078141136,26.1845139414802,30.7161536660929,5.33312602409639,20.4074031325301,52.9976520481928,0.947684853700516,0.949668020654045,0.951616798623064,55.9965427538726,77.5159020309811,94.3903440619621,8.07934585197935,7
201411,29,0,22.0849835111876,25.5525475731497,29.8600378313253,0.776169397590362,6.61532409638554,16.0334361445783,0.950298691910499,0.952341996557659,0.954293253012048,54.267358313253,74.0039717039587,91.2671143545611,7.77505432013769,7
201412,29,0,21.8017351118761,24.656956454389,28.7083068502582,3.66034915662651,21.535016626506,56.8537575903615,0.949271153184165,0.95125769363167,0.952979655765921,62.5847376936317,81.2318838554217,94.6605718416523,6.9065717383821,7
201413,29,0,22.1063808605852,24.9963123580034,28.845955524957,1.58750457831325,9.76451951807229,25.6756698795181,0.948797349397591,0.950682099827883,0.952390808950086,62.0370237865749,79.734294767642,94.0351108089501,6.73957466437177,7
201414,29,0,21.9560836833046,24.3907299139415,27.7648335972461,8.65808337349398,37.1559024096385,97.1930036144579,0.948233666092943,0.950206884681583,0.951841170395869,65.4435928055077,82.0830264716007,94.0006749053356,5.80874991394148,7
201415,29,0,20.9736062994836,23.2123595180723,26.3694508433735,2.01778337349398,13.7729718072289,36.5932238554217,0.950956419965577,0.952577728055078,0.954246574870912,67.231387091222,80.8529188640275,90.7577785542169,5.39584454388984,7
201416,29,0,20.8952046815835,24.2003537349398,28.19048616179,0.511922409638554,3.9450778313253,10.1112787951807,0.950952185886403,0.952835524956971,0.954481721170396,57.5942196557659,77.2646350774527,93.3196139414802,7.29528148020654,7
201417,29,0,20.828598141136,24.0167012736661,27.968396454389,0.573132771084337,4.41972024096386,10.1772390361446,0.951004406196213,0.952906092943201,0.954882925989673,56.5804272633391,76.2778153872633,92.7618239931153,7.13979831325301,7
201418,29,0,20.478494595525,23.7203551462995,27.6594794836489,0.635660481927711,5.11227542168675,13.1547534939759,0.951337487091222,0.953099208261618,0.954882409638554,57.2883849225473,75.7586106712565,91.3218283648881,7.18098488812393,7
201419,29,0,21.5971458175559,24.7913477796902,28.7661252667814,0.581433493975904,5.25054457831325,13.0906997590361,0.94990082616179,0.951936936316695,0.953832702237522,58.0521562478485,76.7667358347676,92.4655537005163,7.16897944922547,7
